stretching	1.n. 伸长；展宽 2.v. 拉伸（stretch的ing形式） 
IPO	1.abbr. 首次公开募股（Initial Public Offerings）；初次公开发行（Initial Public Offering） 
pleasure	1.n. 快乐；希望；娱乐；令人高兴的事 2.vt. 使高兴；使满意 3.vi. 高兴；寻欢作乐 
spotted	1.v. 发现（spot的过去分词）；玷污；弄上污痕 2.adj. 有斑点的；斑纹的；弄污的 3.n. (Spotted)人名；(英)斯波蒂德 
sovereign-wealth	
overwhelmingly	1.adv. 压倒性地；不可抵抗地 
Adam	1.n. 亚当 
Rajapaksa	
highlight	1.n. 最精彩的部分；最重要的事情；加亮区 2.vt. 突出；强调；使显著；加亮 
Securities	1.n. [金融] 有价证券；担保；抵押物（security的复数）；保证人 
MH17	
warrant	1.n. 根据；证明；正当理由；委任状 2.vt. 保证；担保；批准；辩解 
incident	1.n. 事件，事变；插曲 2.adj. [光] 入射的；附带的；易发生的，伴随而来的 
Bennett	1.n. 班尼特（男子名，等于Benedict） 
walking	1.n. 步行；散步 2.v. 步行（walk的ing形式） 3.adj. 步行的 
Abenomics	
implementation	1.n. [计] 实现；履行；安装启用 
tightly	1.adv. 紧紧地；坚固地 
tongue	1.n. 舌头；语言 2.vt. 舔；斥责；用舌吹 3.vi. 说话；吹管乐器 4.n. (Tongue)人名；(英)唐 
remembered	1.vt. 记得；牢记；纪念；代…问好 2.vi. 记得，记起 
Cameroon	1.n. 喀麦隆（西非国名） 
Estonia	1.n. 爱沙尼亚 
Spaniards	1.西班牙人 
cannabis	1.n. 印度大麻（等于hemp）；大麻烟原料；大麻雌花顶部 
double-digit	1.adj. 两位数的 
constituents	1.n. 成分（constituent的复数） 
acid	1.n. 酸；<俚>迷幻药 2.adj. 酸的；讽刺的；刻薄的 
longest	1.adj. 最长的 2.n. (Longest)人名；(英)朗格斯特 
debut	1.n. 初次登台；开张 2.vi. 初次登台 3.n. (Debut)人名；(法)德比 
grassroots	1.n. 草根；基础 2.adj. 基层的；草根的；乡村的 
Icahn	1.伊坎(人名) 
parade	1.n. 游行；阅兵；炫耀；行进；阅兵场 2.vt. 游行；炫耀；列队行进 3.vi. 游行；炫耀；列队行进 4.n. (Parade)人名；(法、德)帕拉德 
wonderful	1.adj. 极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙 
owning	1.有 
holders	1.n. [专利] 持有人（holder的复数） 
aspirations	1.n. 愿望 
aiming	1.n. 目标；瞄准；导航，引导 2.v. 针对；瞄准；旨在（aim的ing形式）；力求 
Oliver	1.n. 奥利弗（男子名） 
persist	1.vi. 存留，坚持；持续，固执 2.vt. 坚持说，反复说 
rescued	1.救援 
Nordic	1.n. 北欧人；日耳曼民族；斯堪的纳维亚人；具有北欧日尔曼民族外貌特征的人 2.adj. 北欧人的；斯堪的纳维亚的；日耳曼民族的 
exclude	1.vt. 排除；排斥；拒绝接纳；逐出 
affects	1.n. 感情；引起感情的因素；情绪反应（affect的复数） 2.v. 影响；喜欢（affect的三单形式）；假装 
functions	1.n. [计] 功能；[数] 函数（function的复数形式） 
sponsored	1.v. 赞助（sponsor的过去分词）；发起 2.adj. 赞助的；发起的 
stall	1.n. 货摊；畜栏；托辞 2.vt. 拖延；使停转；使陷于泥中 3.vi. 停止，停转；拖延 4.n. (Stall)人名；(瑞典)斯塔尔 
adjusted	1.v. 调整；校正（adjust的过去分词） 2.adj. 调整过的，调节了的 
proclaime	
socialist	1.n. 社会主义者；社会党党员 2.adj. 社会主义的 
vicious	1.adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的 2.n. (Vicious)人名；(英)维舍斯 
tablets	1.n. [药] 药片，匾（tablet的复数形式）；便笺 2.v. 用碑牌纪念；将…制成小片（tablet的第三人称单数） 
pushes	1.vt. 推动；增加；推行；逼迫 2.vi. 推；推进；增加；伸展；努力争取 3.n. 推；决心；奋力；攻击；干劲；进取心 
peso	1.n. 比索（拉丁美洲一些国家和菲律宾的货币单位）；美元 2.n. (Peso)人名；(西、意、芬)佩索 
occasional	1.adj. 偶然的；临时的；特殊场合的 
securing	1.v. 保卫；弄牢固（secure的ing形式） 2.adj. 固定住的；作为固定用的 
removal	1.n. 免职；移动；排除；搬迁 
disproportionate	1.adj. 不成比例的 2.不成比例地 
prostitution	1.n. 卖淫；滥用；出卖灵魂 
Californian	1.n. 加利福尼亚州人 2.adj. 加州的；加利福尼亚的 
commitments	1.n. 承诺，保证；委托；承担义务；献身 
realistic	1.adj. 现实的；现实主义的；逼真的；实在论的 
pollster	1.n. 民意测验专家，民意调查人；整理民意测验结果的人 2.n. (Pollster)人名；(英)波尔斯特 
echoes	1.n. 回声；共鸣；反响（echo的复数） 2.v. 发出回声；随声附和；与…相似（echo的单三形式） 
Serbia	1.n. 塞尔维亚（南斯拉夫成员共和国名） 
Nicolas	1.n. 尼古拉斯（男子名） 
Midlands	1.中部地区 
explanations	1.n. 解释（explanation的复数）；说明 
strategist	1.n. 战略家；军事家 
separation	1.n. 分离，分开；间隔，距离；[法] 分居；缺口 
naked	1.adj. 裸体的；无装饰的；无证据的；直率的 
Norwegian	1.n. 挪威人；挪威语 2.adj. 挪威的；挪威人的；挪威语的 
slipping	1.n. 滑动 2.v. 滑动（slip的现在分词） 3.adj. 渐渐松弛的 
pump	1.n. 泵，抽水机；打气筒 2.vt. 打气；用抽水机抽… 3.vi. 抽水 4.n. (Pump)人名；(捷)蓬普；(英)庞普 
fragmented	1.adj. 片断的；成碎片的 2.v. 分裂（fragment的过去分词）；使成碎片 
Bundestag	1.n. 西德连邦议会 
business-friendly	1.商业友好 
Rivera	1.n. 里韦拉（乌拉圭北部最重要的边境城市，里韦拉省首府） 
admitting	1.v. 承认（admit的ing形式） 
dragged	1.v. 制动；拖动；打滑；松懈 
quoted	1.v. 引证（quote的过去式） 
preference	1.n. 偏爱，倾向；优先权 
solely	1.adv. 单独地，唯一地 
Often	1.adv. 常常，时常 
fatal	1.adj. 致命的；重大的；毁灭性的；命中注定的 2.n. (Fatal)人名；(葡、芬)法塔尔 
infections	1.n. 传染病；口腔病害（infection复数形式） 
Mitchell	1.n. 米切尔（男子名，等于Michael） 
humour	1.n. 幽默（等于humor）；诙谐 2.vt. 迁就；使满足 
fade	1.n. [电影][电视] 淡出；[电影][电视] 淡入 2.adj. 平淡的；乏味的 3.vi. 褪色；凋谢；逐渐消失 4.vt. 使褪色 5.n. (Fade)人名；(法)法德 
Abdel	1.n. (Abdel)人名；(阿拉伯、哈萨、塔吉、吉尔、乌兹、阿塞、土库、乍、塞)阿卜杜勒 
romantic	1.n. 浪漫的人 2.adj. 浪漫的；多情的；空想的 3.vt. 使…浪漫化 
Samaras	1.n. (Samaras)人名；(希)萨马拉斯 
weakest	1.adj. 最弱的 
copied	1.v. 复制，复印（copy的过去分词） 2.adj. 复制的；已复制的 
ethanol	1.n. [有化] 乙醇，[有化] 酒精 
handout	1.n. 散发材料（免费发给的新闻通报）；上课老师发的印刷品；文字资料 （会议上分发的）；施舍物 
assistant	1.n. 助手，助理，助教 2.adj. 辅助的，助理的；有帮助的 
premature	1.n. 早产儿；过早发生的事物 2.adj. 早产的；不成熟的；比预期早的 
signalled	1.v. 标志着（signal的过去分词形式）；给…发信号；用信号传递 2.adj. 暗示的；告知的 
Ernst	1.n. 恩斯特（人名）；艾伦斯特（人名） 
noting	1.n. 注释，注释法；公证文件；提示 2.v. 记录，注解，注意（note的现在分词） 
Corker	1.n. 压塞机；塞瓶塞的人；出色的人 2.n. (Corker)人名；(英)科克 
Virgin	1.n. 处女 2.adj. 处女的；纯洁的；未经利用的，处于原始状态的 
inspectors	1.n. [经管] 检查员，巡视员（inspector的复数形式）；检查器 
correlation	1.n. [数] 相关，关联；相互关系 
pregnancy	1.n. 怀孕；丰富，多产；意义深长 
exploration	1.n. 探测；探究；踏勘 
long-standing	1.adj. 长期存在的；存在已久的 
liability	1.n. 责任；债务；倾向；可能性；不利因素 
watchdog	1.n. 看门狗；监察人；忠实的看守人 
graft	1.n. 移植；嫁接；渎职 2.vt. 移植；嫁接；贪污 3.vi. 移植；嫁接；贪污 4.n. （非正式）脚踏实地地埋头苦干 
administrative	1.adj. 管理的，行政的 
grievance	1.n. 不满，不平；委屈；冤情 
mortality	1.n. 死亡数，死亡率；必死性，必死的命运 
sprawling	1.adj. 蔓生的，不规则地伸展的 2.v. （手脚）不自然地伸开；笨拙地爬（sprawl的现在分词） 
frustrated	1.v. 挫败；阻挠（frustrate的过去式和过去分词形式） 2.adj. 失意的，挫败的；泄气的 
facility	1.n. 设施；设备；容易；灵巧 
tendency	1.n. 倾向，趋势；癖好 
Administration	1.n. 管理；行政；实施；行政机构 
eliminate	1.vt. 消除；排除 
phenomenon	1.n. 现象；奇迹；杰出的人才 
boundary	1.n. 边界；范围；分界线 
spark	1.n. 火花；朝气；闪光 2.vt. 发动；鼓舞；求婚 3.vi. 闪烁；发火花；求婚 4.n. (Spark)人名；(俄)斯帕克 
commonly	1.adv. 一般地；通常地；普通地 
constraint	1.n. [数] 约束；局促，态度不自然；强制 
resignation	1.n. 辞职；放弃；辞职书；顺从 
Sheikh	1.n. 族长；阿拉伯酋长（等于sheik） 
Latino	1.n. 拉丁美洲人 2.n. (Latino)人名；(意、葡)拉蒂诺 3.adj. 拉丁美洲的；拉丁美洲人的 
demonstrations	1.n. 示范，展示（demonstration复数） 
aggressive	1.adj. 侵略性的；好斗的；有进取心的；有闯劲的 
convincing	1.v. 使相信；使明白（convince的现在分词） 2.adj. 令人信服的；有说服力的 
Harper	1.n. 竖琴演奏人 
annexation	1.n. 合并；附加物 
extremism	1.n. 极端主义（尤指政治上的极右或极左）；极端性；过激主义 
teenage	1.n. 青少年时期 2.adj. 青少年的；十几岁的 
manages	1.n. 管理（manage的复数，等于managements） 2.v. 管理；控制；负责；设法对付（manage的三单形式） 
reversed	1.v. 颠倒（reverse的过去式和过去分词）；翻转 2.adj. 颠倒的；相反的；（判决等）撤销的 
caliphate	1.n. 伊斯兰教国王的职权或其领域 
developments	1.n. 发展；进展（development的复数）；建设 
containing	1.n. 包含 2.v. 包含；容纳；克制（contain的ing形式） 3.adj. 包含的；封闭的 
PSA	1.abbr. 美国摄影协会（Photographic Society of America ）；美国诗社（Poetry Society of America）；公共事业管理（Public Service Administration ）；公用事业协会（Public Service Association） 
Thaksin	1.塔克辛；塔辛（人名） 
crossing	1.n. 十字路口；杂交；横渡；横道 2.v. 横越（cross的现在分词） 
eventual	1.adj. 最后的，结果的；可能的；终于的 
neutral	1.n. 中立国；中立者；非彩色；齿轮的空档 2.adj. 中立的，中性的；中立国的；非彩色的 
enjoys	1.vt. 欣赏，享受；喜爱；使过得快活 
staged	1.v. stage过去式及过去分词 2.adj. 分期的 
embargo	
function	1.n. 功能；[数] 函数；职责；盛大的集会 2.vi. 运行；活动；行使职责 
rightly	1.adv. 正确地；恰当地；公正地；合适地 
automatically	1.adj. 不经思索的 2.adv. 自动地；机械地；无意识地 
breach	1.n. 违背，违反；缺口 2.vt. 违反，破坏；打破 
Harry	1.vt. 折磨；掠夺；骚扰；使苦恼 2.n. (Harry)人名；(英)哈里，哈丽(女名)(教名Henry、Harriet的昵称) 
County	1.n. 郡，县 
Louisiana	1.n. 美国路易斯安那州 
liberalisation	1.n. 自由化；开放 
hitherto	1.adv. 迄今；至今 
strengthened	1.v. 加强（strengthen的过去式） 
dubious	1.adj. 可疑的；暧昧的；无把握的；半信半疑的 
formidable	1.adj. 强大的；可怕的；令人敬畏的；艰难的 
SOE	1.n. (Soe)人名；(日)副(姓)；(瑞典)瑟；(缅)梭 2.abbr. 国有企业（state-owned enterprises）；事件顺序记录（Sequence Of Event）；特殊行动执行局（Special Operations Executive）；索尼在线娱乐公司（Sony Online Entertainment）；特别行动处（Special Operations Executive） 
stages	1.n. [计] 阶段（stage的复数）；舞台；戏剧表演 2.v. 计划；表演；分阶段进行（stage的三单形式） 
stagnation	1.n. 停滞；滞止 
reactors	1.n. [化工] 反应器（reactor的复数）；反应者 
hint	1.n. 暗示；线索 2.vt. 暗示；示意 3.vi. 示意 4.n. (Hint)人名；(英)欣特；(法)安特 
slashed	1.v. 削减（slash的过去式及过去分词） 
defences	1.n. 防御工事（defence复数） 
Tayyip	
rankings	1.n. 排名；排行（ranking的复数） 
provoke	1.vt. 驱使；激怒；煽动；惹起 
impressed	1.adj. 印象深刻的；外加的；受感动的；了不起的 
Columbia	1.n. 哥伦比亚 
backers	1.n. (Backers)人名；(英)巴克斯 
sole	1.n. 鞋底；脚底；基础；鳎目鱼 2.adj. 唯一的；单独的；仅有的 3.vt. 触底；上鞋底 4.n. (Sole)人名；(意、西、芬、塞、罗、南非)索莱 
prosecution	1.n. 起诉，检举；进行；经营 
heed	1.n. 注意到；留心到 2.vt. 注意，留心 3.vi. 注意，留心 4.n. (Heed)人名；(瑞典)赫德 
commit	1.vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务 
unionist	1.n. 工会会员；联合主义者 
Hague	1.n. 海牙（荷兰一座城市） 
NGO	1.abbr. 非政府组织（Non-Governmental Organization）；民间组织 2.n. (Ngo)人名；(喀)恩戈；(柬)努 
accompanied	1.v. 陪伴，伴随；伴奏（accompany的过去分词） 2.adj. 伴随的；相伴的 
offences	1.冒犯 2.犯规 3.违法行为 4.罪行(offence的复数） 
bears	1.n. 熊（bear的复数）；空头（卖空的证券交易投机） 
deposit	1.n. 存款；保证金；沉淀物 2.vt. 使沉积；存放 3.vi. 沉淀 
Kentucky	1.n. 肯塔基州 
sweet	1.n. 糖果；乐趣；芳香；宝贝 2.adj. 甜的；悦耳的；芳香的；亲切的 3.（俚）酷毙了 4.n. (Sweet)人名；(英)斯威特 
recall	1.n. 召回；回忆；撤消 2.vt. 召回；回想起，记起；取消 
Canal	1.n. 运河；[地理] 水道；[建] 管道；灌溉水渠 2.vt. 在…开凿运河 3.n. (Canal)人名；(英、法、西、意、葡)卡纳尔；(土)贾纳尔 
rushed	1.v. 急忙（rush的过去式）；匆促 2.adj. 匆忙的；贸然的 
researcher	1.n. 研究员 
grave	1.n. 墓穴，坟墓；死亡 2.adj. 重大的；严肃的；黯淡的 3.vt. 雕刻；铭记 4.n. (Grave)人名；(英)格雷夫；(德、瑞典)格拉弗；(法)格拉夫；(俄、葡)格拉韦 
discontent	1.n. 不满 2.adj. 不满的 3.vt. 使不满 
tired	1.v. 疲倦；对…腻烦（tire的过去分词形式） 2.adj. 疲倦的；厌倦的，厌烦的 
sacked	1.v. 解雇；洗劫；把…装进袋里；睡觉（sack的过去分词） 2.adj. 袋装的；被洗劫的 
attracting	1.诱集 
sufficient	1.adj. 足够的；充分的 
memoir	1.n. 回忆录；研究报告；自传；实录 
diversity	1.n. 多样性；差异 
Wayne	1.n. 韦恩（男子名） 
Nemtsov	
Immigration	1.n. 外来移民；移居 
arrangement	1.n. 布置；整理；准备 
destination	1.n. 目的地，终点 
demographic	1.adj. 人口统计学的；人口学的 
crew	1.n. 队，组；全体人员，全体船员 2.vt. 使当船员 3.vi. 一起工作 4.n. (Crew)人名；(英、西)克鲁 
bias	1.n. 偏见；偏爱；斜纹；乖离率 2.adj. 偏斜的 3.vt. 使存偏见 4.adv. 偏斜地 5.n. (Bias)人名；(法、德、葡、喀)比亚斯；(英)拜厄斯 
wholesale	1.n. 批发 2.adj. 批发的；大规模的 3.vt. 批发 4.adv. 大规模地；以批发方式 5.vi. 批发；经营批发业 
limiting	1.v. 限制；限定（limit的现在分词） 2.adj. 限制的；限制性的 
successes	1.n. 成功，成就；胜利；大获成功的人或事物 
gender	1.n. 性；性别；性交 2.vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless） 
ensuring	1.v. 保证；确保；担保（ensure的现在分词） 
commerce	1.n. 贸易，商业 
Daniel	1.n. 丹尼尔（男子名） 
equities	1.n. 股票（equity的复数）；权益；股本；公平 
advocate	1.n. 提倡者；支持者；律师 2.vt. 提倡，主张，拥护 
discourage	1.vt. 阻止；使气馁 
distrust	1.n. 不信任 2.vt. 不信任 3.怀疑 
supreme	1.n. 至高；霸权 2.adj. 最高的；至高的；最重要的 
surge	1.n. 汹涌；大浪，波涛；汹涌澎湃；巨涌 2.v. 汹涌；起大浪，蜂拥而来 
intentions	1.n. 目的，意向，意图；打算（intention的复数） 
Bay	1.n. 海湾；狗吠声 2.vt. 向…吠叫 3.vi. 吠叫；大声叫嚷 4.n. (Bay)人名；(越)七；(英、老)贝；(德、意、罗、捷、土、丹)巴伊；(匈)鲍伊；(瑞典)巴伊 
